,PER,TS%,3PAr,FTr,ORB%,AST%,TOV%,PT,W/L
171,[-1.46666667],[-0.03561111],[0.10122222],[-0.043],[-0.76666667],[-1.55],[-2.34444444],8.0,1.0
172,[-2.855],[-0.0273625],[0.06095],[0.083975],[-2.31375],[-0.03875],[-1.17125],-10.0,0.0
173,[0.36151316],[-0.00175987],[-0.10525658],[0.02815789],[-0.34605263],[2.11447368],[1.30690789],4.0,1.0
174,[-0.25634675],[0.00031269],[0.0511517],[-0.01505882],[-0.6244582],[-0.78049536],[0.70804954],15.0,1.0
175,[-0.16555556],[0.05574444],[0.12271111],[0.04273333],[-0.30111111],[-0.79555556],[2.62222222],3.0,1.0
176,[1.83786765],[0.04251838],[0.00480147],[0.07388235],[1.65441176],[0.53970588],[3.20919118],37.0,1.0
177,[-0.72105263],[-0.00205263],[-0.03515789],[0.04226316],[0.95263158],[0.54736842],[2.65263158],-4.0,0.0
178,[2.39916667],[0.05208333],[0.09792083],[0.10580417],[0.10583333],[2.36708333],[-2.58666667],6.0,1.0
179,[-0.59047619],[-0.01997143],[0.00320952],[-0.02393333],[-0.67904762],[-0.92285714],[-1.77238095],-7.0,0.0
180,[-3.01041667],[-0.07314583],[0.02866667],[-0.00775],[0.475],[-0.59166667],[-1.31458333],-5.0,0.0
181,[2.18961538],[0.06855],[0.02508846],[-0.04729231],[-0.44346154],[-0.97807692],[-0.385],18.0,1.0
182,[-3.18187135],[-0.08166667],[0.06126608],[-0.15231579],[-2.27865497],[-2.66783626],[-3.39502924],-3.0,0.0
183,[-1.11637427],[-0.00699708],[0.07879825],[-0.03915789],[-0.05116959],[-2.5505848],[-2.40204678],-2.0,0.0
184,[0.04],[0.02035417],[0.04433333],[-0.00185833],[-0.87208333],[-0.01041667],[0.79708333],-4.0,0.0
185,[2.27238095],[0.02419048],[-0.03531429],[0.04291429],[1.06],[1.38285714],[-2.82],19.0,1.0
186,[1.57269737],[0.04590461],[0.05158553],[-0.055625],[-1.00460526],[1.38421053],[2.61282895],5.0,1.0
187,[1.11894737],[0.02750877],[0.06354386],[-0.03373333],[0.0045614],[-0.18245614],[2.48491228],-12.0,0.0
188,[2.49666667],[0.04228333],[-0.02470833],[0.030375],[-0.22583333],[-2.275],[-1.57333333],20.0,1.0
189,[-0.26],[0.02506667],[0.04066667],[0.03913333],[-0.2],[-0.95333333],[1.24666667],-23.0,0.0
190,[-1.08300654],[-0.03376144],[0.02165686],[-0.06288235],[-1.25718954],[-0.10359477],[-2.11405229],-43.0,0.0
191,[-2.11125],[-0.0222375],[0.102575],[0.1151],[-0.87],[-0.12],[0.04125],11.0,1.0
192,[-0.44711538],[-0.05425],[-0.10722596],[-0.08474519],[1.92596154],[-0.12067308],[1.6],-21.0,0.0
193,[1.7245614],[0.03249708],[-0.02778363],[0.04295322],[0.89093567],[-1.53391813],[-1.99093567],5.0,1.0
194,[-1.22577031],[-0.02543417],[-0.01591597],[0.01394118],[-0.93473389],[-0.44089636],[-1.14257703],5.0,1.0
195,[-1.24210526],[-0.03015789],[0.01615789],[-0.01678947],[0.82631579],[-3.23684211],[-2.49473684],-15.0,0.0
196,[0.73964912],[0.02046667],[-0.00594386],[0.08838246],[1.78421053],[2.29894737],[1.56280702],-25.0,0.0
197,[-0.79291667],[-0.00027083],[-0.04435833],[-0.08149167],[-1.15583333],[0.32666667],[3.46791667],6.0,1.0
198,[-1.4377193],[-0.02724123],[0.08025219],[-0.063375],[-0.52960526],[0.79254386],[1.29824561],-38.0,0.0
199,[-2.83157895],[-0.05305263],[0.03884211],[-0.14847368],[-1.56315789],[-3.66842105],[-3.45263158],3.0,1.0
200,[0.42],[0.03433333],[0.02593333],[0.05906667],[-0.58666667],[-1.17333333],[0.89333333],-11.0,0.0
201,[-0.24196429],[0.01995536],[0.15367262],[0.04595238],[-0.34166667],[-0.23452381],[1.48958333],-21.0,0.0
202,[1.08300654],[0.03376144],[-0.02165686],[0.06288235],[1.25718954],[0.10359477],[2.11405229],24.0,1.0
203,[0.63529412],[0.00546275],[0.01912549],[-0.03787451],[0.25568627],[-0.48196078],[-0.62980392],9.0,1.0
204,[-1.07894737],[-0.00715461],[-0.01921053],[0.031875],[-0.87664474],[0.17203947],[-1.68782895],-2.0,0.0
205,[-1.34603175],[-0.05057143],[0.03819841],[-0.066],[-1.2468254],[-0.86507937],[-2.62460317],16.0,1.0
206,[0.22083333],[-0.00119444],[-0.06429861],[-0.07204861],[-0.04027778],[1.45069444],[1.52777778],13.0,1.0
207,[-0.70538462],[0.02083333],[0.04170513],[0.03854103],[-1.88512821],[-1.00641026],[-2.35333333],-15.0,0.0
208,[-0.74239766],[0.00250585],[0.08563743],[0.02503509],[0.57748538],[-2.13625731],[-0.20935673],13.0,1.0
209,[-3.84166667],[-0.05658333],[0.03021667],[0.08316667],[-0.995],[0.625],[-0.54166667],-27.0,0.0
210,[1.07894737],[0.00715461],[0.01921053],[-0.031875],[0.87664474],[-0.17203947],[1.68782895],-5.0,0.0
211,[-2.20661765],[-0.05045588],[0.01563603],[-0.09081985],[-1.04191176],[-1.75845588],[-1.95294118],-13.0,0.0
212,[-0.63529412],[-0.00546275],[-0.01912549],[0.03787451],[-0.25568627],[0.48196078],[0.62980392],3.0,1.0
213,[0.66526316],[-0.0230807],[-0.05323158],[-0.00090877],[0.0522807],[1.89614035],[-0.33684211],-18.0,0.0
214,[1.12255639],[0.01196241],[-0.06457393],[-0.0573208],[-0.13859649],[1.35689223],[-0.30175439],17.0,1.0
215,[1.85128205],[0.07558333],[0.02499679],[0.06818269],[-1.35096154],[-1.98141026],[-1.16666667],-10.0,0.0
216,[0.72375],[0.0130125],[0.07795833],[0.03],[-0.18833333],[-1.39166667],[-0.75041667],-21.0,0.0
217,[-2.86611111],[-0.03099444],[0.07611667],[0.1041],[-1.26722222],[-0.55611111],[-1.05388889],-15.0,0.0
218,[0.72105263],[0.00205263],[0.03515789],[-0.04226316],[-0.95263158],[-0.54736842],[-2.65263158],8.0,1.0
219,[-0.96942356],[-0.02574687],[-0.06706767],[0.029],[-0.31027569],[0.339599],[-1.85062657],4.0,1.0
220,[3.05964912],[0.06155556],[-0.01832164],[0.06520468],[1.25643275],[4.22339181],[2.41725146],6.0,1.0
221,[-0.64555556],[0.00894444],[0.08877778],[-0.0156],[-0.47444444],[-0.92222222],[-1.03111111],16.0,1.0
222,[-3.94911765],[-0.06475588],[0.09777353],[0.04121765],[-2.52441176],[-0.65970588],[-3.16794118],-5.0,0.0
