,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
185,201611230DAL,LA Clippers,LAC,124,Dallas,DAL,104,LA Clippers,LAC,Dallas,DAL
186,201611230DET,Miami,MIA,84,Detroit,DET,107,Detroit,DET,Miami,MIA
187,201611230GSW,LA Lakers,LAL,106,Golden State,GSW,149,Golden State,GSW,LA Lakers,LAL
188,201611230HOU,Toronto,TOR,115,Houston,HOU,102,Toronto,TOR,Houston,HOU
189,201611230IND,Atlanta,ATL,96,Indiana,IND,85,Atlanta,ATL,Indiana,IND
190,201611230NOP,Minnesota,MIN,96,New Orleans,NOP,117,New Orleans,NOP,Minnesota,MIN
191,201611230ORL,Phoenix,PHO,92,Orlando,ORL,87,Phoenix,PHO,Orlando,ORL
192,201611230PHI,Memphis,MEM,104,Philadelphia,PHI,99,Memphis,MEM,Philadelphia,PHI
193,201611230SAC,Oklahoma City,OKC,101,Sacramento,SAC,116,Sacramento,SAC,Oklahoma City,OKC
194,201611250BOS,San Antonio,SAS,109,Boston,BOS,103,San Antonio,SAS,Boston,BOS
195,201611250CLE,Dallas,DAL,90,Cleveland,CLE,128,Cleveland,CLE,Dallas,DAL
196,201611250DEN,Oklahoma City,OKC,132,Denver,DEN,129,Oklahoma City,OKC,Denver,DEN
197,201611250DET,LA Clippers,LAC,97,Detroit,DET,108,Detroit,DET,LA Clippers,LAC
198,201611250IND,Brooklyn,BRK,97,Indiana,IND,118,Indiana,IND,Brooklyn,BRK
199,201611250LAL,Golden State,GSW,109,LA Lakers,LAL,85,Golden State,GSW,LA Lakers,LAL
200,201611250MEM,Miami,MIA,90,Memphis,MEM,81,Miami,MIA,Memphis,MEM
201,201611250MIL,Toronto,TOR,105,Milwaukee,MIL,99,Toronto,TOR,Milwaukee,MIL
202,201611250NYK,Charlotte,CHO,111,New York,NYK,113,New York,NYK,Charlotte,CHO
203,201611250ORL,Washington,WAS,94,Orlando,ORL,91,Washington,WAS,Orlando,ORL
204,201611250PHI,Chicago,CHI,105,Philadelphia,PHI,89,Chicago,CHI,Philadelphia,PHI
205,201611250PHO,Minnesota,MIN,98,Phoenix,PHO,85,Minnesota,MIN,Phoenix,PHO
206,201611250POR,New Orleans,NOP,104,Portland,POR,119,Portland,POR,New Orleans,NOP
207,201611250SAC,Houston,HOU,117,Sacramento,SAC,104,Houston,HOU,Sacramento,SAC
208,201611260CHO,New York,NYK,102,Charlotte,CHO,107,Charlotte,CHO,New York,NYK
209,201611260GSW,Minnesota,MIN,102,Golden State,GSW,115,Golden State,GSW,Minnesota,MIN
210,201611260MIA,Memphis,MEM,110,Miami,MIA,107,Memphis,MEM,Miami,MIA
211,201611260OKC,Detroit,DET,88,Oklahoma City,OKC,106,Oklahoma City,OKC,Detroit,DET
212,201611270BRK,Sacramento,SAC,122,Brooklyn,BRK,105,Sacramento,SAC,Brooklyn,BRK
213,201611270DAL,New Orleans,NOP,81,Dallas,DAL,91,Dallas,DAL,New Orleans,NOP
214,201611270IND,LA Clippers,LAC,70,Indiana,IND,91,Indiana,IND,LA Clippers,LAC
215,201611270LAL,Atlanta,ATL,94,LA Lakers,LAL,109,LA Lakers,LAL,Atlanta,ATL
216,201611270ORL,Milwaukee,MIL,104,Orlando,ORL,96,Milwaukee,MIL,Orlando,ORL
217,201611270PHI,Cleveland,CLE,112,Philadelphia,PHI,108,Cleveland,CLE,Philadelphia,PHI
