game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
21600637,2017-01-19,DAL @ MIA,MIA,t,W,13,30,0.302,240,35,73,0.479,9,20,0.45,20,29,1,6,34,40,16,4,1,13,15,99,DAL,2016,Regular Season,2016-17
21600509,2017-01-01,DET @ MIA,MIA,t,L,10,25,0.286,240,35,77,0.455,14,26,0.538,14,18,1,3,31,34,25,6,4,10,22,98,DET,2016,Regular Season,2016-17
21600473,2016-12-27,OKC @ MIA,MIA,t,L,10,22,0.313,240,36,82,0.439,7,22,0.318,15,21,1,9,23,32,14,10,4,12,23,94,OKC,2016,Regular Season,2016-17
21600439,2016-12-22,LAL @ MIA,MIA,t,W,10,20,0.333,240,45,84,0.536,11,22,0.5,14,21,1,10,37,47,25,7,6,12,15,115,LAl,2016,Regular Season,2016-17
21600170,2016-11-17,MIL @ MIA,MIA,t,W,3,8,0.273,240,39,97,0.402,7,30,0.233,11,21,1,17,42,59,19,5,8,7,18,96,MIL,2016,Regular Season,2016-17
21601130,2017-03-31,DET @ MIL,MIL,t,W,40,36,0.526,265,35,84,0.417,14,36,0.389,24,34,1,9,39,48,25,6,3,12,18,108,DET,2016,Regular Season,2016-17
21601090,2017-03-26,CHI @ MIL,MIL,t,L,37,36,0.507,240,37,84,0.44,7,23,0.304,13,17,1,9,25,34,20,8,0,9,9,94,CHI,2016,Regular Season,2016-17
21600706,2017-01-28,BOS @ MIL,MIL,t,L,21,26,0.447,265,37,87,0.425,9,21,0.429,25,32,1,9,38,47,23,6,6,15,25,108,BOS,2016,Regular Season,2016-17
21600615,2017-01-16,PHI @ MIL,MIL,t,L,20,20,0.5,240,42,89,0.472,5,14,0.357,15,22,1,10,28,38,23,8,5,12,23,104,PHI,2016,Regular Season,2016-17
21600548,2017-01-06,NYK @ MIL,MIL,t,L,18,17,0.514,240,39,78,0.5,12,22,0.545,21,28,1,6,29,35,24,9,11,14,19,111,NYK,2016,Regular Season,2016-17
21600513,2017-01-02,OKC @ MIL,MIL,t,W,17,16,0.515,240,38,79,0.481,7,19,0.368,15,24,1,7,32,39,21,4,4,10,17,98,OKC,2016,Regular Season,2016-17
21600447,2016-12-23,WAS @ MIL,MIL,t,W,14,14,0.5,240,45,80,0.563,9,25,0.36,24,27,1,8,33,41,29,8,6,11,16,123,WAS,2016,Regular Season,2016-17
21600340,2016-12-09,ATL @ MIL,MIL,t,L,11,10,0.524,240,44,94,0.468,12,28,0.429,10,14,1,9,34,43,26,11,5,15,25,110,ATL,2016,Regular Season,2016-17
21600262,2016-11-29,CLE @ MIL,MIL,t,W,8,8,0.5,240,46,86,0.535,7,19,0.368,19,23,1,10,33,43,27,15,6,17,22,118,CLE,2016,Regular Season,2016-17
41600126,2017-04-27,TOR @ MIL,MIL,t,L,2,4,0.333,240,32,75,0.427,7,18,0.389,18,28,1,11,26,37,18,11,10,14,20,89,TOR,2016,Playoffs,2016-17
21700894,2018-02-25,SAS @ CLE,CLE,t,L,35,24,0.593,240,38,91,0.418,8,34,0.235,10,14,1,13,34,47,18,8,3,15,24,94,SAS,2017,Regular Season,2017-18
21700270,2017-11-24,CHA @ CLE,CLE,t,W,12,7,0.632,240,38,83,0.458,13,39,0.333,11,15,1,3,42,45,25,4,7,12,24,100,CHO,2017,Regular Season,2017-18
21700254,2017-11-22,BKN @ CLE,CLE,t,W,11,7,0.611,240,43,82,0.524,14,34,0.412,19,27,1,4,29,33,21,8,2,10,19,119,BRK,2017,Regular Season,2017-18
