Date,Start (ET),Visitor,PTS-V,Home,PTS-H
Wed Dec 7 2016,8:30p,SAC,120,DAL,89
Wed Dec 7 2016,8:00p,LAL,95,HOU,134
Wed Dec 7 2016,10:30p,GSW,115,LAC,98
Wed Dec 7 2016,8:00p,POR,107,MIL,115
Wed Dec 7 2016,8:00p,CHO,126,NYK,94
Wed Dec 7 2016,7:00p,BOS,117,ORL,87
Wed Dec 7 2016,9:00p,IND,109,PHO,94
Thu Dec 8 2016,9:30p,SAS,91,CHI,95
Thu Dec 8 2016,8:00p,POR,86,MEM,88
Thu Dec 8 2016,8:00p,PHI,99,NOP,88
Thu Dec 8 2016,7:00p,MIN,110,TOR,124
Thu Dec 8 2016,9:00p,GSW,106,UTA,99
Thu Dec 8 2016,7:00p,DEN,85,WAS,92
Fri Dec 9 2016,7:30p,TOR,101,BOS,94
Fri Dec 9 2016,7:00p,ORL,88,CHO,109
Fri Dec 9 2016,7:30p,MIA,84,CHO,114
Fri Dec 9 2016,8:30p,IND,103,DAL,111
Fri Dec 9 2016,10:30p,PHO,119,LAL,115
Fri Dec 9 2016,8:00p,ATL,114,MIL,110
Fri Dec 9 2016,8:00p,DET,117,MIN,90
Fri Dec 9 2016,8:00p,HOU,102,OKC,99
Fri Dec 9 2016,10:30p,NYK,103,SAC,100
Sat Dec 10 2016,8:00p,MIA,100,CHI,105
Sat Dec 10 2016,7:30p,CHO,105,CHO,116
Sat Dec 10 2016,8:00p,DAL,87,HOU,109
Sat Dec 10 2016,7:00p,POR,111,IND,118
Sat Dec 10 2016,10:30p,NOP,105,LAC,133
Sat Dec 10 2016,8:00p,GSW,89,MEM,110
Sat Dec 10 2016,7:00p,DEN,121,ORL,113
Sat Dec 10 2016,8:30p,BRK,101,SAS,130
Sat Dec 10 2016,9:00p,SAC,84,UTA,104
Sat Dec 10 2016,7:00p,MIL,105,WAS,110
Sun Dec 11 2016,6:00p,PHI,97,DET,79
Sun Dec 11 2016,9:30p,NYK,118,LAL,112
Sun Dec 11 2016,7:00p,GSW,116,MIN,108
Sun Dec 11 2016,7:00p,BOS,96,OKC,99
Sun Dec 11 2016,8:30p,NOP,120,PHO,119
Mon Dec 12 2016,8:30p,DEN,92,DAL,112
Mon Dec 12 2016,8:00p,BRK,118,HOU,122
Mon Dec 12 2016,7:00p,CHO,94,IND,110
Mon Dec 12 2016,10:30p,POR,120,LAC,121
Mon Dec 12 2016,7:30p,WAS,101,MIA,112
Mon Dec 12 2016,10:30p,LAL,92,SAC,116
Mon Dec 12 2016,7:30p,MIL,100,TOR,122
Tue Dec 13 2016,7:30p,ORL,131,ATL,120
Tue Dec 13 2016,8:00p,MIN,99,CHI,94
Tue Dec 13 2016,7:00p,MEM,86,CHO,103
Tue Dec 13 2016,8:00p,GSW,113,NOP,109
Tue Dec 13 2016,9:00p,NYK,111,PHO,113
Tue Dec 13 2016,10:30p,OKC,95,POR,114
Wed Dec 14 2016,7:30p,LAL,97,BRK,107
Wed Dec 14 2016,8:30p,DET,95,DAL,85
Wed Dec 14 2016,8:00p,SAC,98,HOU,132
Wed Dec 14 2016,8:00p,CHO,85,MEM,93
Wed Dec 14 2016,7:00p,IND,89,MIA,95
Wed Dec 14 2016,7:00p,LAC,113,ORL,108
Wed Dec 14 2016,7:00p,TOR,123,PHI,114
Wed Dec 14 2016,9:30p,BOS,101,SAS,108
Wed Dec 14 2016,9:00p,OKC,89,UTA,109
Wed Dec 14 2016,7:00p,CHO,106,WAS,109
Thu Dec 15 2016,9:00p,POR,120,DEN,132
Thu Dec 15 2016,10:30p,NYK,90,GSW,103
Thu Dec 15 2016,8:00p,CHI,97,MIL,108
Thu Dec 15 2016,8:00p,IND,95,NOP,102
Thu Dec 15 2016,9:00p,SAS,107,PHO,92
Fri Dec 16 2016,7:30p,CHO,88,BOS,96
Fri Dec 16 2016,8:00p,MIL,95,CHI,69
Fri Dec 16 2016,8:00p,NOP,100,HOU,122
Fri Dec 16 2016,8:00p,SAC,96,MEM,92
Fri Dec 16 2016,8:00p,LAC,102,MIA,98
Fri Dec 16 2016,7:00p,BRK,111,ORL,118
Fri Dec 16 2016,8:00p,LAL,100,PHI,89
Fri Dec 16 2016,7:30p,ATL,125,TOR,121
Fri Dec 16 2016,10:30p,DAL,100,UTA,103
Fri Dec 16 2016,7:00p,DET,108,WAS,122
Sat Dec 17 2016,7:30p,CHO,107,ATL,99
Sat Dec 17 2016,7:30p,LAL,108,CHO,119
Sat Dec 17 2016,9:00p,NYK,114,DEN,127
Sat Dec 17 2016,7:00p,IND,105,DET,90
Sat Dec 17 2016,10:30p,POR,90,GSW,135
Sat Dec 17 2016,8:00p,HOU,111,MIN,109
Sat Dec 17 2016,5:00p,PHO,101,OKC,114
Sun Dec 18 2016,4:00p,SAC,79,DAL,99
Sun Dec 18 2016,6:00p,UTA,82,MEM,73
Sun Dec 18 2016,6:00p,BOS,105,MIA,95
Sun Dec 18 2016,6:00p,TOR,109,ORL,79
