,Unnamed: 0,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
235,11976,21600840,2017-02-15,NOP @ MEM,MEM,t,L,34.0,24.0,0.586,240,33.0,89.0,0.371,6.0,33.0,0.182,19.0,25.0,1.0,13.0,35.0,48,22.0,8.0,3.0,15.0,19.0,91,NOP,2016,Regular Season,2016-17
236,11977,21600777,2017-02-06,SAS @ MEM,MEM,t,W,32.0,22.0,0.593,240,32.0,81.0,0.395,4.0,19.0,0.211,21.0,25.0,1.0,15.0,35.0,50,18.0,8.0,11.0,13.0,17.0,89,SAS,2016,Regular Season,2016-17
239,11985,21600611,2017-01-15,CHI @ MEM,MEM,t,L,25.0,18.0,0.581,240,40.0,95.0,0.421,11.0,32.0,0.344,13.0,13.0,1.0,13.0,37.0,50,24.0,6.0,3.0,10.0,22.0,104,CHI,2016,Regular Season,2016-17
243,11989,21600424,2016-12-20,BOS @ MEM,MEM,t,L,18.0,12.0,0.6,265,38.0,94.0,0.404,12.0,30.0,0.4,21.0,26.0,1.0,17.0,35.0,52,23.0,10.0,3.0,13.0,30.0,109,BOS,2016,Regular Season,2016-17
244,11990,21600394,2016-12-16,SAC @ MEM,MEM,t,L,18.0,10.0,0.643,240,29.0,77.0,0.377,5.0,25.0,0.2,29.0,36.0,1.0,13.0,34.0,47,19.0,7.0,8.0,13.0,31.0,92,SAC,2016,Regular Season,2016-17
245,11991,21600074,2016-11-04,LAC @ MEM,MEM,t,L,3.0,3.0,0.5,240,31.0,84.0,0.369,9.0,26.0,0.34600000000000003,17.0,22.0,1.0,13.0,35.0,48,26.0,4.0,9.0,18.0,28.0,88,LAC,2016,Regular Season,2016-17
246,11992,21600039,,WAS @ MEM,MEM,t,W,2.0,1.0,0.667,265,39.0,88.0,0.443,15.0,31.0,0.484,19.0,26.0,1.0,11.0,36.0,47,24.0,9.0,2.0,14.0,26.0,112,WAS,2016,Regular Season,2016-17
248,11994,11600044,,PHI @ MEM,MEM,t,W,2.0,1.0,0.667,240,43.0,89.0,0.483,13.0,29.0,0.448,22.0,35.0,1.0,10.0,40.0,50,26.0,13.0,8.0,15.0,23.0,121,PHI,2016,Pre Season,2016-17
249,11995,41600154,2017-04-22,SAS @ MEM,MEM,t,W,2.0,2.0,0.5,265,38.0,82.0,0.463,12.0,27.0,0.444,22.0,24.0,1.0,8.0,43.0,51,19.0,3.0,3.0,22.0,21.0,110,SAS,2016,Playoffs,2016-17
252,11998,21601087,2017-03-26,PHX @ CHA,CHO,t,W,33.0,40.0,0.452,240,42.0,87.0,0.483,14.0,30.0,0.467,22.0,24.0,1.0,8.0,33.0,41,29.0,8.0,2.0,7.0,14.0,120,PHO,2016,Regular Season,2016-17
254,12005,21600991,2017-03-13,CHI @ CHA,CHO,t,L,29.0,38.0,0.433,240,43.0,93.0,0.462,7.0,29.0,0.241,16.0,19.0,1.0,11.0,33.0,44,25.0,4.0,3.0,6.0,18.0,109,CHI,2016,Regular Season,2016-17
255,12006,21600976,2017-03-11,NOP @ CHA,CHO,t,L,29.0,37.0,0.439,265,46.0,102.0,0.451,13.0,46.0,0.28300000000000003,17.0,20.0,1.0,11.0,39.0,50,32.0,5.0,1.0,9.0,14.0,122,NOP,2016,Regular Season,2016-17
256,12007,21600941,2017-03-06,IND @ CHA,CHO,t,W,28.0,35.0,0.444,240,35.0,86.0,0.407,11.0,31.0,0.355,19.0,21.0,1.0,13.0,37.0,50,21.0,10.0,2.0,10.0,8.0,100,IND,2016,Regular Season,2016-17
261,12012,21600505,2016-12-31,CLE @ CHA,CHO,t,L,19.0,15.0,0.5589999999999999,240,40.0,78.0,0.513,9.0,24.0,0.375,20.0,23.0,1.0,10.0,29.0,39,24.0,3.0,7.0,11.0,19.0,109,CLE,2016,Regular Season,2016-17
264,12015,21600241,2016-11-26,NYK @ CHA,CHO,t,W,9.0,7.0,0.563,240,35.0,80.0,0.438,8.0,22.0,0.364,29.0,42.0,1.0,10.0,42.0,52,16.0,3.0,9.0,10.0,14.0,107,NYK,2016,Regular Season,2016-17
265,12016,21600213,2016-11-23,SAS @ CHA,CHO,t,L,8.0,6.0,0.5710000000000001,240,45.0,89.0,0.506,11.0,20.0,0.55,13.0,18.0,1.0,12.0,32.0,44,30.0,3.0,3.0,15.0,16.0,114,SAS,2016,Regular Season,2016-17
266,12017,21600201,2016-11-21,MEM @ CHA,CHO,t,L,8.0,5.0,0.615,240,30.0,73.0,0.411,9.0,31.0,0.29,21.0,33.0,1.0,8.0,31.0,39,20.0,6.0,9.0,10.0,13.0,90,MEM,2016,Regular Season,2016-17
267,12018,21600095,2016-11-07,IND @ CHA,CHO,t,W,5.0,1.0,0.833,240,41.0,84.0,0.488,12.0,32.0,0.375,28.0,32.0,1.0,3.0,40.0,43,30.0,12.0,4.0,11.0,15.0,122,IND,2016,Regular Season,2016-17
269,12020,11600092,,MIA @ CHA,CHO,t,W,3.0,3.0,0.5,240,34.0,82.0,0.415,8.0,24.0,0.333,20.0,24.0,1.0,10.0,39.0,49,22.0,9.0,4.0,16.0,17.0,96,MIA,2016,Pre Season,2016-17
270,12030,11600025,,BOS @ CHA,CHO,t,L,0.0,2.0,0.0,240,37.0,87.0,0.425,6.0,27.0,0.222,12.0,16.0,1.0,6.0,35.0,41,24.0,5.0,3.0,15.0,20.0,92,BOS,2016,Pre Season,2016-17
271,12031,21601225,2017-04-12,DEN @ OKC,OKC,t,L,47.0,35.0,0.573,240,43.0,101.0,0.426,8.0,25.0,0.32,11.0,17.0,1.0,14.0,37.0,51,20.0,10.0,8.0,12.0,24.0,105,DEN,2016,Regular Season,2016-17
274,12034,21601159,2017-04-04,MIL @ OKC,OKC,t,W,44.0,33.0,0.5710000000000001,240,40.0,84.0,0.476,9.0,28.0,0.321,21.0,25.0,1.0,11.0,42.0,53,29.0,9.0,7.0,13.0,20.0,110,MIL,2016,Regular Season,2016-17
